case,target,decision,score,confidence,evidence_quality,n_reasons,n_gaps,n_bridge_items,n_missing_info
CASE01,NURS 2260,APPROVE_WITH_BRIDGE,87,MEDIUM,0,3,1,0,0
CASE03,CHEM 4510,APPROVE_WITH_BRIDGE,80,MEDIUM,0,2,2,0,1
CASE04,BIOL 3060,APPROVE_WITH_BRIDGE,80,MEDIUM,0,2,1,0,1
CASE05,NURS 2260,DENY,30,HIGH,0,1,3,0,0
CASE06,HHP 3450,DENY,0,HIGH,0,1,3,0,0
CASE07,CHEM 3710,DENY,82,MEDIUM,0,2,3,0,0
CASE08,COMM 2310,DENY,0,HIGH,0,2,3,0,0
CASE09,MATH 2100,DENY,30,MEDIUM,0,2,3,0,1
CASE10,ESC 1500,DENY,30,HIGH,0,2,2,0,0
Case 11,CPSC 2150,DENY,40,MEDIUM,0,1,3,0,3
Case 12,CHEM 3010,DENY,40,MEDIUM,0,1,3,0,3
Case 13,MATH 1950,DENY,0,HIGH,0,0,3,0,0
Case 14,PSY 1010,NEEDS_MORE_INFO,70,LOW,0,2,1,0,1
Case 15,COMM 1010,DENY,0,LOW,0,0,3,0,1
Case 16,COMM 2310,NEEDS_MORE_INFO,70,LOW,0,2,3,0,3
Case 17,MGT 3300,DENY,0,HIGH,0,0,3,0,0
Case 18,PHYS 1030,DENY,40,MEDIUM,0,1,4,0,0
Case 19,CPSC 2310,DENY,40,MEDIUM,0,2,3,0,3
Case 20,ECON 1010,DENY,50,LOW,0,1,2,0,2
Case 21,THSP 1240,DENY,40,LOW,0,2,2,0,2
Case 22,MATH 2100,DENY,40,MEDIUM,0,2,4,0,0
Case 23,NURS 2110,DENY,40,LOW,0,2,3,0,3
Case 24,ENME 1030,DENY,40,LOW,0,1,3,0,3
Case 25,PHIL 1110,DENY,40,MEDIUM,0,1,4,0,0
Case 26,BIOL 1110,DENY,0,MEDIUM,0,0,3,0,1
Case 27,MATH 2100,NEEDS_MORE_INFO,70,LOW,0,1,3,0,3
Case 28,PHYS 1030,DENY,0,HIGH,0,1,4,0,0
Case 29,CPSC 1100,APPROVE_WITH_BRIDGE,80,MEDIUM,0,2,2,0,0
Case 30,CHEM 3710,DENY,40,LOW,0,1,3,0,3
